guid,occurrence_by_state,flower_color,flowering_season,plant_size
https://id.biodiversity.org.au/node/apni/2886064,"New South Wales, Queensland",Green,"Autumn, Summer",Tree
https://id.biodiversity.org.au/node/apni/2886197,"New South Wales, Queensland","Black, Green, Pink, Purple, Red, White, Yellow","Autumn, Spring, Summer, Winter",Medium
https://id.biodiversity.org.au/node/apni/2886206,Western Australia,"Orange, Red",,Small
https://id.biodiversity.org.au/node/apni/2886263,"New South Wales, Queensland","Purple, Red, White","Spring, Summer",Shrub
https://id.biodiversity.org.au/node/apni/2886495,"New South Wales, Northern Territory, South Australia, Western Australia",Yellow,,Small
https://id.biodiversity.org.au/node/apni/2886624,"New South Wales, Queensland","Pink, White","Spring, Summer",Small
https://id.biodiversity.org.au/node/apni/2886844,,"Mauve, Purple","Spring, Winter",Small
https://id.biodiversity.org.au/node/apni/2886972,"New South Wales, Queensland","Green, Orange, Red, White","Spring, Winter",Shrub
https://id.biodiversity.org.au/node/apni/2887061,New South Wales,"Brown, Green, Red",,Medium
https://id.biodiversity.org.au/node/apni/2887085,"New South Wales, Queensland","Pink, White",Summer,Shrub
https://id.biodiversity.org.au/node/apni/2887115,Western Australia,"Green, Red","Spring, Summer, Winter",Small
https://id.biodiversity.org.au/node/apni/2887218,Western Australia,Brown,"Autumn, Spring, Summer",Shrub
https://id.biodiversity.org.au/node/apni/2887380,New South Wales,"Pink, White","Autumn, Spring, Winter",Shrub
https://id.biodiversity.org.au/node/apni/2887385,"New South Wales, Queensland, South Australia, Victoria","Pink, Red","Autumn, Summer",Shrub
https://id.biodiversity.org.au/node/apni/2887480,"New South Wales, Queensland",Green,,Large
https://id.biodiversity.org.au/node/apni/2887517,"New South Wales, Queensland, South Australia, Victoria","Blue, Mauve","Spring, Summer",Small
https://id.biodiversity.org.au/node/apni/2887761,Queensland,"Green, Pink, Red, White","Spring, Summer",Large
https://id.biodiversity.org.au/node/apni/2887780,"New South Wales, Queensland",,,Large
https://id.biodiversity.org.au/node/apni/2887784,"New South Wales, South Australia, Victoria","Pink, White",,Small
https://id.biodiversity.org.au/node/apni/2887796,Western Australia,"Purple, Yellow","Spring, Summer",Large
https://id.biodiversity.org.au/node/apni/2887852,Queensland,"Green, Mauve, Orange, Pink, Purple, Red, White",Spring,Medium
https://id.biodiversity.org.au/node/apni/2887897,"New South Wales, Queensland","Red, White","Spring, Summer",Large
https://id.biodiversity.org.au/node/apni/2888137,"New South Wales, Queensland",Pink,Spring,Small
https://id.biodiversity.org.au/node/apni/2888235,"New South Wales, Queensland","Brown, Pink, Purple, Red",Spring,Small
https://id.biodiversity.org.au/node/apni/2888407,"Queensland, Western Australia, south Australia","Brown, Green, Yellow","Spring, Winter",Large
https://id.biodiversity.org.au/node/apni/2888469,"New South Wales, Queensland","Blue, Green, Mauve, Pink, White","Autumn, Summer",Large
https://id.biodiversity.org.au/node/apni/2888492,"New South Wales, Victoria",Yellow,"Spring, Summer",Small
https://id.biodiversity.org.au/node/apni/2888541,"South Australia, Victoria","Red, Yellow","Spring, Summer, Winter",Prostrate
https://id.biodiversity.org.au/node/apni/2888674,"New South Wales, Victoria","Mauve, Pink",Spring,Small
https://id.biodiversity.org.au/node/apni/2888754,Western Australia,Orange,"Spring, Summer, Winter",Prostrate
https://id.biodiversity.org.au/node/apni/2888796,"Northern Territory, South Australia, Western Australia","Cream, Green, Grey, Pink, Purple, Red","Spring, Summer",Small
https://id.biodiversity.org.au/node/apni/2888817,Western Australia,"Grey, Red","Spring, Summer",Small
https://id.biodiversity.org.au/node/apni/2888933,,Red,"Spring, Winter",Medium
https://id.biodiversity.org.au/node/apni/2889005,Queensland,"Green, Red","Spring, Summer",Tree
https://id.biodiversity.org.au/node/apni/2889030,New South Wales,"Green, Red","Spring, Summer",Prostrate
https://id.biodiversity.org.au/node/apni/2889041,"New South Wales, South Australia, Victoria","Red, White, Yellow",Spring,Small
https://id.biodiversity.org.au/node/apni/2889161,"New South Wales, Queensland",Yellow,"Spring, Summer",Small
https://id.biodiversity.org.au/node/apni/2889252,western Australia,Yellow,"Autumn, Spring, Summer",Small
https://id.biodiversity.org.au/node/apni/2889289,,"Cream, Green, Pink, Red, White","Spring, Summer",Small
https://id.biodiversity.org.au/node/apni/2889436,New South Wales,"Green, Red, White","Spring, Winter",
https://id.biodiversity.org.au/node/apni/2889516,Queensland,"Brown, Green",,Medium
https://id.biodiversity.org.au/node/apni/2889534,Western Australia,Cream,"Spring, Summer",Small
https://id.biodiversity.org.au/node/apni/2889584,,"Grey, Purple","Spring, Winter",Large
https://id.biodiversity.org.au/node/apni/2889602,New South Wales,"Purple, Red, White",Summer,Tree
https://id.biodiversity.org.au/node/apni/2889612,Western Australia,"Brown, Yellow","Spring, Winter",Small
https://id.biodiversity.org.au/node/apni/2889663,Western Australia,,Summer,Tree
https://id.biodiversity.org.au/node/apni/2889741,Western Australia,Orange,Summer,Shrub
https://id.biodiversity.org.au/node/apni/2889759,"New South Wales, Queensland","Pink, White","Autumn, Spring, Summer",Small
https://id.biodiversity.org.au/node/apni/2889833,Western Australia,"Grey, Pink, Red","Spring, Summer",Small
https://id.biodiversity.org.au/node/apni/2889893,Western Australia,"Cream, Orange","Spring, Summer, Winter",Shrub
https://id.biodiversity.org.au/node/apni/2889927,New South Wales,White,Summer,Tree
https://id.biodiversity.org.au/node/apni/2890111,"New South Wales, Queensland, South Australia, Tasmania, Victoria","Mauve, Purple, White",Spring,Small
https://id.biodiversity.org.au/node/apni/2890214,"New South Wales, Queensland","Blue, Brown, Green, Grey, Yellow","Autumn, Summer, Winter",Shrub
https://id.biodiversity.org.au/node/apni/2890272,"New South Wales, Queensland","Green, Pink, Red, Yellow",,Small
https://id.biodiversity.org.au/node/apni/2890419,Queensland,White,"Spring, Winter",Small
https://id.biodiversity.org.au/node/apni/2890445,"New South Wales, Queensland",Purple,,Tree
https://id.biodiversity.org.au/node/apni/2890460,"South Australia, Western Australia","Cream, Pink, Purple, Red","Spring, Summer, Winter",Large
https://id.biodiversity.org.au/node/apni/2890664,Western Australia,"Cream, White","Spring, Summer",Small
https://id.biodiversity.org.au/node/apni/2890671,Western Australia,White,"Spring, Summer, Winter",Small
https://id.biodiversity.org.au/node/apni/2890692,Western Australia,"Blue, Yellow","Spring, Winter",Perennial herb
https://id.biodiversity.org.au/node/apni/2890796,,"Pink, White",Spring,Small
https://id.biodiversity.org.au/node/apni/2890894,Western Australia,"Lilac, Mauve","Summer, Winter",Large
https://id.biodiversity.org.au/node/apni/2890980,"Queensland, Victoria","Green, White, Yellow","Autumn, Spring, Winter",Shrub
https://id.biodiversity.org.au/node/apni/2890993,,"Green, Red, White",,Large
https://id.biodiversity.org.au/node/apni/2891012,"New South Wales, Queensland",Yellow,"Spring, Summer",Small
https://id.biodiversity.org.au/node/apni/2891068,Western Australia,"Cream, Yellow","Spring, Summer",Shrub
https://id.biodiversity.org.au/node/apni/2891071,"Tasmania, Victoria","Cream, Pink, Purple, White","Autumn, Spring",Prostrate
