guid,plant_type,plant_origin,light_requirement,wind_tolerance,growth_rate,frost_resistant,is_evergreen,is_native,plant_height,plant_width,flower_color,flowering_month,climate_zone
ALA_DR493_155,Orchid,China and Japan,Full Sun to Part Shade,Sheltered,Medium,Marginal,Yes,No,0.6,0.6,Pink,"September, October, November","[{""Zone"": 7}, {""Zone"": 8}, {""Zone"": 9}, {""Zone"": 10}]"
ALA_DR493_569,Orchid,"Tropical US, Mexico and Caribbean",Moderate/Dappled Shade,Sheltered,Medium,Tender,No,No,0.5,0.5,Yellow,"February, March, April, May, June","[{""Zone"": 9}, {""Zone"": 10}, {""Zone"": 11}, {""Zone"": 12}]"
ALA_DR493_775,Climber/Creeper,West Indies and Central America,Moderate/Dappled Shade,Sheltered,Fast,Tender,Yes,No,20,0.5,Yellow,"January, February, March, April, May, June, July, August, September, October, November, December","[{""Zone"": 12}]"
https://id.biodiversity.org.au/name/apni/116832,Cactii/Succulent,"Arizona, Texas and Utah USA",Full Sun,Medium,Slow,Hardy,Yes,No,1,2,Cream Orange Pink Yellow,"October, November","[{""Zone"": 8}, {""Zone"": 9}, {""Zone"": 10}]"
https://id.biodiversity.org.au/name/apni/120670,Shrub,China Japan,Full Sun to Part Shade,Sheltered,Medium,Hardy,No,No,5,4,Pink Purple White,"August, September, October","[{""Zone"": 7}, {""Zone"": 8}, {""Zone"": 9}, {""Zone"": 10}]"
https://id.biodiversity.org.au/name/apni/151583,Annual/Perennial,S America,Full Sun to Part Shade,Medium,Fast,Tender,Yes,No,0.8,0.4,,,
https://id.biodiversity.org.au/name/apni/159175,Tree,SE Asia,Full Sun to Part Shade,Wind Tolerant,Fast,Tender,Yes,No,25,30,,,
https://id.biodiversity.org.au/name/apni/170917,Climber/Creeper,Cultivar,Moderate/Dappled Shade,Sheltered,Very fast,Tender,Yes,No,3,1,Purple Red,"October, November, December","[{""Zone"": 9}, {""Zone"": 10}, {""Zone"": 11}, {""Zone"": 12}]"
https://id.biodiversity.org.au/name/apni/170917,Climber/Creeper,Cultivar bred by Hummel of California - originally from the Phillipines,Moderate/Dappled Shade,Sheltered,Very fast,Tender,Yes,No,3,1,Cream Pink Red White,"October, November, December","[{""Zone"": 9}, {""Zone"": 10}, {""Zone"": 11}, {""Zone"": 12}]"
https://id.biodiversity.org.au/name/apni/232088,Shrub,"Japan, China",Full Sun,Sheltered,Medium,Hardy,No,No,3,3,White,"October, November, December","[{""Zone"": 7}, {""Zone"": 8}, {""Zone"": 9}, {""Zone"": 10}]"
https://id.biodiversity.org.au/name/apni/242070,Annual/Perennial,North America,Half Sun / Half Shade,Medium,Fast,Hardy,Yes,No,1.1,0.3,Red,"February, March, April, May","[{""Zone"": 7}, {""Zone"": 8}, {""Zone"": 9}, {""Zone"": 10}]"
https://id.biodiversity.org.au/name/apni/51254137,Tree,E Australia,Full Sun to Part Shade,Wind/Salt tolerant,Fast,Hardy,Yes,Yes,20,6,Cream White,"September, October, November, December","[{""Zone"": 9}, {""Zone"": 10}, {""Zone"": 11}]"
https://id.biodiversity.org.au/name/apni/51259506,Grasses & Bamboos,Australia,Full Sun to Part Shade,Sheltered,Medium,Marginal,Yes,Yes,1,1,,,
https://id.biodiversity.org.au/name/apni/51392019,Climber/Creeper,Tropical West Africa,Full Sun to Part Shade,Sheltered,Medium,Tender,Yes,No,3,1.5,Red White,"January, February, March, November, December","[{""Zone"": 9}, {""Zone"": 10}, {""Zone"": 11}, {""Zone"": 12}]"
https://id.biodiversity.org.au/name/apni/51392257,Shrub,Venezuala,Half Sun / Half Shade,Medium,Medium,Tender,Yes,No,2.5,2.5,Red,"May, June, July, August","[{""Zone"": 9}, {""Zone"": 10}, {""Zone"": 11}, {""Zone"": 12}]"
https://id.biodiversity.org.au/name/apni/51392891,Shrub,Brazil,Full Sun,Sheltered,Medium,Tender,Yes,No,1,1.2,Mauve Purple,"January, February, March, April, December","[{""Zone"": 9}, {""Zone"": 10}, {""Zone"": 11}, {""Zone"": 12}]"
https://id.biodiversity.org.au/name/apni/55335,Cactii/Succulent,Mexico and Texas,Full Sun,Wind Tolerant,Medium,Tender,Yes,No,1.5,3,Yellow,"January, February, November, December",[]
https://id.biodiversity.org.au/name/apni/58756,Annual/Perennial,Mediterranean,Full Sun to Part Shade,Medium,Fast,,Yes,No,0.4,0.15,Cream Mauve Pink Red White,,"[{""Zone"": 8}, {""Zone"": 9}, {""Zone"": 10}, {""Zone"": 11}]"
https://id.biodiversity.org.au/name/apni/64576,Fruit/Nut Plants,S.E. Asia,Full Sun,Sheltered,Fast,Tender,Yes,No,4.5,2,Red,"January, February, November, December","[{""Zone"": 10}, {""Zone"": 11}, {""Zone"": 12}]"
https://id.biodiversity.org.au/name/apni/87915,Orchid,S America,Full Sun to Part Shade,Sheltered,Fast,Tender,No,No,0.2,0.1,Assorted,"January, February, March, April, October, November, December","[{""Zone"": 9}, {""Zone"": 10}, {""Zone"": 11}, {""Zone"": 12}]"
