guid,act,tas,wa,vic,qld,nsw,sa,nt
https://id.biodiversity.org.au/node/apni/2889138,0,0,0,0,1,0,0,0
https://id.biodiversity.org.au/node/apni/2892436,0,0,1,0,0,0,1,0
https://id.biodiversity.org.au/node/apni/2896113,0,1,0,1,0,1,0,0
https://id.biodiversity.org.au/node/apni/2908484,0,0,0,0,0,0,1,0
https://id.biodiversity.org.au/node/apni/7488719,0,0,1,0,0,0,0,1
https://id.biodiversity.org.au/node/apni/2890494,0,0,0,1,0,0,0,0
https://id.biodiversity.org.au/taxon/apni/51269875,0,0,0,0,0,0,1,0
https://id.biodiversity.org.au/node/apni/2892874,0,0,0,1,0,1,1,0
NZOR-6-23229,0,0,0,1,0,0,0,0
https://id.biodiversity.org.au/node/ausmoss/10056763,0,0,0,1,0,0,0,0
https://id.biodiversity.org.au/taxon/apni/51284110,0,0,1,1,1,1,1,1
NZOR-6-62017,0,0,0,0,0,1,0,0
https://id.biodiversity.org.au/node/apni/2903497,0,0,1,1,0,1,1,0
https://id.biodiversity.org.au/node/apni/2910751,0,0,0,1,0,0,0,0
https://id.biodiversity.org.au/node/apni/2894279,0,0,0,0,0,1,0,0
https://id.biodiversity.org.au/node/apni/2889888,0,0,0,0,1,0,0,1
https://id.biodiversity.org.au/taxon/apni/51268011,1,1,1,1,0,1,0,0
https://id.biodiversity.org.au/name/apni/174350,0,0,0,1,0,0,0,0
NZOR-6-48758,0,0,0,0,0,1,0,0
https://id.biodiversity.org.au/node/apni/2913092,0,0,0,0,1,1,0,1
https://id.biodiversity.org.au/node/apni/2895505,0,0,1,0,1,0,0,0
https://id.biodiversity.org.au/taxon/apni/51269785,0,1,1,1,0,1,1,0
https://id.biodiversity.org.au/node/apni/2888378,0,0,0,1,0,0,0,0
NZOR-6-136318,0,0,0,1,0,1,0,0
https://id.biodiversity.org.au/node/apni/2888307,1,1,1,1,0,1,1,0
https://id.biodiversity.org.au/node/apni/2899950,1,0,0,1,1,0,0,0
https://id.biodiversity.org.au/node/apni/2910017,0,0,0,0,1,1,0,1
https://id.biodiversity.org.au/node/apni/2903289,0,0,0,0,0,0,0,0
https://id.biodiversity.org.au/taxon/apni/51291098,0,0,1,1,1,1,1,0
https://id.biodiversity.org.au/node/apni/2901904,0,0,0,0,0,1,0,0
https://id.biodiversity.org.au/node/apni/2900438,0,0,0,0,1,0,0,0
https://id.biodiversity.org.au/node/apni/7834737,0,1,0,1,0,1,1,0
https://id.biodiversity.org.au/taxon/apni/51270825,1,0,1,1,1,1,1,1
https://id.biodiversity.org.au/node/apni/2888864,1,1,1,1,1,1,1,1
https://id.biodiversity.org.au/node/apni/2907304,1,0,1,1,1,1,1,0
https://id.biodiversity.org.au/node/apni/2903696,0,0,0,1,0,0,0,0
https://id.biodiversity.org.au/node/apni/2920107,0,0,0,1,0,0,1,0
https://id.biodiversity.org.au/node/apni/2917724,0,0,0,0,0,0,1,0
https://id.biodiversity.org.au/node/apni/7746707,0,0,0,0,0,0,1,0
https://id.biodiversity.org.au/node/apni/2906791,0,0,1,1,0,0,0,0
https://id.biodiversity.org.au/node/apni/7733886,0,0,0,0,0,1,0,0
https://id.biodiversity.org.au/node/apni/2901367,0,0,0,0,0,1,0,0
https://id.biodiversity.org.au/node/apni/4092437,0,0,0,1,0,1,1,0
https://id.biodiversity.org.au/node/apni/2894536,0,1,0,1,0,0,0,0
https://id.biodiversity.org.au/taxon/apni/51268985,0,0,1,1,0,0,0,0
https://id.biodiversity.org.au/node/apni/2901312,0,0,0,0,1,0,0,0
https://id.biodiversity.org.au/taxon/apni/51291433,0,0,0,1,0,0,0,0
https://id.biodiversity.org.au/taxon/apni/51293892,0,1,0,0,0,1,0,0
https://id.biodiversity.org.au/node/apni/2890787,0,0,0,0,1,0,0,0
https://id.biodiversity.org.au/node/apni/2899117,0,0,0,0,0,0,0,0
https://id.biodiversity.org.au/node/apni/2895207,0,0,1,0,0,0,0,0
https://id.biodiversity.org.au/node/apni/2912338,0,1,0,0,0,0,0,0
https://id.biodiversity.org.au/node/apni/2914408,0,0,0,0,1,0,0,0
https://id.biodiversity.org.au/node/apni/2916362,0,0,1,1,0,1,1,0
https://id.biodiversity.org.au/node/apni/2902574,0,0,1,1,1,1,1,0
https://id.biodiversity.org.au/node/apni/2900240,0,0,0,0,1,0,0,1
https://id.biodiversity.org.au/node/apni/5272169,1,0,1,0,0,0,1,0
https://id.biodiversity.org.au/node/apni/2920789,0,0,0,0,0,0,0,1
https://id.biodiversity.org.au/taxon/apni/51311295,0,0,0,1,0,0,1,0
https://id.biodiversity.org.au/node/apni/2899554,1,0,1,1,1,0,0,0
https://id.biodiversity.org.au/node/apni/2900023,0,0,0,0,0,1,0,0
NZOR-6-125664,0,0,0,0,0,1,0,0
NZOR-6-37584,0,0,0,1,0,0,0,0
https://id.biodiversity.org.au/node/apni/2908727,0,0,0,0,0,1,0,0
https://id.biodiversity.org.au/node/apni/2897520,0,0,0,0,0,1,0,0
https://id.biodiversity.org.au/node/apni/2904557,0,0,1,1,0,1,0,0
https://id.biodiversity.org.au/node/apni/2912493,0,0,0,0,0,0,1,0
https://id.biodiversity.org.au/node/apni/2901027,0,0,0,0,0,1,1,0
https://id.biodiversity.org.au/taxon/apni/51294576,0,0,0,0,0,1,0,0
https://id.biodiversity.org.au/node/apni/2889451,1,1,1,1,1,1,1,1
https://id.biodiversity.org.au/node/apni/2890804,0,0,0,0,1,1,0,0
https://id.biodiversity.org.au/node/apni/2890505,0,0,1,0,1,1,1,1
https://id.biodiversity.org.au/node/apni/2913424,0,0,1,0,1,1,1,1
https://id.biodiversity.org.au/node/apni/2911559,0,0,0,0,0,1,0,0
NZOR-6-9799,0,0,0,0,0,1,0,0
NZOR-6-130303,0,0,0,0,0,1,0,0
https://id.biodiversity.org.au/node/apni/2917215,0,0,0,1,0,1,0,0
https://id.biodiversity.org.au/node/apni/2909637,0,0,1,0,1,0,0,1
https://id.biodiversity.org.au/node/apni/2904819,0,0,0,1,0,1,0,0
https://id.biodiversity.org.au/node/apni/2901904,0,0,0,0,1,1,0,0
https://id.biodiversity.org.au/node/apni/2892282,0,0,0,1,1,1,1,0
https://id.biodiversity.org.au/taxon/apni/51267104,0,0,0,1,0,0,0,0
https://id.biodiversity.org.au/node/apni/2891878,0,1,0,1,1,1,1,0
https://id.biodiversity.org.au/node/apni/2903631,0,0,0,0,1,1,0,0
https://id.biodiversity.org.au/node/apni/2899337,0,0,0,0,0,0,0,0
https://id.biodiversity.org.au/node/apni/2897578,1,0,1,1,1,1,1,0
https://id.biodiversity.org.au/node/apni/2897167,0,0,1,1,0,1,1,1
https://id.biodiversity.org.au/node/apni/2908680,0,0,1,1,0,1,0,0
https://id.biodiversity.org.au/node/apni/2900572,0,0,0,0,0,1,0,0
https://id.biodiversity.org.au/node/apni/7767601,1,0,1,1,1,1,1,1
https://id.biodiversity.org.au/taxon/apni/51268028,0,0,0,1,0,0,0,0
https://id.biodiversity.org.au/node/apni/2919386,0,0,0,1,0,0,1,0
https://id.biodiversity.org.au/node/apni/2891668,0,0,0,1,0,1,1,0
https://id.biodiversity.org.au/node/apni/2890045,0,0,0,0,0,1,0,0
https://id.biodiversity.org.au/node/apni/2919445,0,0,1,0,1,1,1,1
https://id.biodiversity.org.au/node/apni/2887162,0,0,0,0,0,1,0,0
https://id.biodiversity.org.au/node/apni/2890530,0,0,0,0,1,0,0,0
https://id.biodiversity.org.au/node/apni/2912079,0,0,0,0,1,1,0,0
https://id.biodiversity.org.au/taxon/apni/51270837,1,1,1,1,1,1,1,1
https://id.biodiversity.org.au/node/apni/7129078,0,0,0,1,0,1,0,0
https://id.biodiversity.org.au/node/apni/2905302,0,0,0,1,0,0,0,0
https://id.biodiversity.org.au/node/apni/2888299,0,0,0,0,1,0,0,0
https://id.biodiversity.org.au/node/apni/2916453,0,0,0,1,0,1,1,0
https://id.biodiversity.org.au/node/apni/9358711,0,0,0,1,0,1,1,0
https://id.biodiversity.org.au/node/apni/2905537,0,0,0,0,0,0,1,0
https://id.biodiversity.org.au/node/apni/2894018,0,0,1,0,0,0,0,1
https://id.biodiversity.org.au/node/apni/2904309,0,0,0,0,0,1,0,0
https://id.biodiversity.org.au/node/apni/2915278,0,0,0,1,0,0,0,0
https://id.biodiversity.org.au/node/apni/2897316,0,0,1,0,1,1,0,1
https://id.biodiversity.org.au/node/apni/2921185,0,1,1,0,0,1,1,0
